# L 100_WLx100_WL
2.0000000000000000e+00 4.1786480000000001e-02
3.0000000000000000e+00 2.0938459999999999e-02
4.0000000000000000e+00 2.6774309999999999e-02
5.0000000000000000e+00 2.1702579999999999e-02
6.0000000000000000e+00 2.2558530000000000e-02
7.0000000000000000e+00 4.6665920000000000e-02
8.0000000000000000e+00 3.0950829999999999e-02
9.0000000000000000e+00 3.6986339999999999e-02
1.0000000000000000e+01 4.0414779999999997e-02
1.1000000000000000e+01 4.4722940000000003e-02
1.2000000000000000e+01 4.7170980000000001e-02
1.3000000000000000e+01 5.5481059999999999e-02
1.4000000000000000e+01 5.4738439999999999e-02
1.5000000000000000e+01 5.5052759999999999e-02
1.6000000000000000e+01 5.9113400000000003e-02
1.7000000000000000e+01 6.3189389999999998e-02
1.8000000000000000e+01 6.5219769999999996e-02
1.9000000000000000e+01 6.9171020000000000e-02
2.0000000000000000e+01 8.1803769999999998e-02
2.1000000000000000e+01 8.9925649999999996e-02
2.2000000000000000e+01 9.0862760000000001e-02
2.3000000000000000e+01 8.4722199999999998e-02
2.4000000000000000e+01 9.7700179999999998e-02
2.5000000000000000e+01 1.1346464000000001e-01
2.6000000000000000e+01 9.6141000000000004e-02
2.7000000000000000e+01 1.0393347999999999e-01
2.8000000000000000e+01 1.2277499000000000e-01
2.9000000000000000e+01 1.5189931000000001e-01
