# L 100GHzx100GHz
2.0000000000000000e+00 1.5715200000000001e-03
3.0000000000000000e+00 5.3213570000000002e-02
4.0000000000000000e+00 1.1730400000000000e-02
5.0000000000000000e+00 9.9216500000000006e-03
6.0000000000000000e+00 9.6737300000000002e-03
7.0000000000000000e+00 8.9694700000000002e-03
8.0000000000000000e+00 9.1186800000000005e-03
9.0000000000000000e+00 1.0878330000000000e-02
1.0000000000000000e+01 8.7303699999999995e-03
1.1000000000000000e+01 1.1164940000000000e-02
1.2000000000000000e+01 1.4739320000000000e-02
1.3000000000000000e+01 1.2785319999999999e-02
1.4000000000000000e+01 6.4947700000000004e-03
1.5000000000000000e+01 6.4504599999999999e-03
1.6000000000000000e+01 8.4208600000000005e-03
1.7000000000000000e+01 4.8898300000000004e-03
1.8000000000000000e+01 1.1612000000000001e-02
1.9000000000000000e+01 9.0269500000000006e-03
2.0000000000000000e+01 7.0181100000000001e-03
2.1000000000000000e+01 0.0000000000000000e+00
2.2000000000000000e+01 0.0000000000000000e+00
2.3000000000000000e+01 0.0000000000000000e+00
2.4000000000000000e+01 0.0000000000000000e+00
2.5000000000000000e+01 0.0000000000000000e+00
2.6000000000000000e+01 0.0000000000000000e+00
2.7000000000000000e+01 0.0000000000000000e+00
2.8000000000000000e+01 0.0000000000000000e+00
2.9000000000000000e+01 0.0000000000000000e+00
