# L 100GHzx100GHz
2.0000000000000000e+00 4.4140199999999997e-02
3.0000000000000000e+00 5.5988889999999999e-02
4.0000000000000000e+00 2.2986389999999999e-02
5.0000000000000000e+00 5.9860129999999998e-02
6.0000000000000000e+00 3.6839240000000002e-02
7.0000000000000000e+00 4.1311580000000001e-02
8.0000000000000000e+00 1.4110100000000001e-03
9.0000000000000000e+00 1.5530100000000000e-02
1.0000000000000000e+01 1.0464760000000000e-02
1.1000000000000000e+01 1.1249459999999999e-02
1.2000000000000000e+01 1.7428539999999999e-02
1.3000000000000000e+01 1.2469200000000000e-02
1.4000000000000000e+01 3.3744850000000000e-02
1.5000000000000000e+01 6.3712400000000002e-03
1.6000000000000000e+01 4.9012999999999999e-03
1.7000000000000000e+01 2.4849540000000000e-02
1.8000000000000000e+01 5.5484970000000002e-02
1.9000000000000000e+01 7.4724990000000005e-02
2.0000000000000000e+01 1.2514350000000000e-02
2.1000000000000000e+01 3.4340240000000001e-02
2.2000000000000000e+01 5.8738310000000002e-02
2.3000000000000000e+01 1.1316453000000000e-01
2.4000000000000000e+01 4.3067319999999999e-02
2.5000000000000000e+01 9.9174780000000004e-02
2.6000000000000000e+01 1.6592953999999999e-01
2.7000000000000000e+01 6.1656990000000002e-02
2.8000000000000000e+01 1.2854948999999999e-01
2.9000000000000000e+01 8.0099779999999995e-02
