# L 143GHzx143GHz
2.0000000000000000e+00 5.0634070000000003e-02
3.0000000000000000e+00 4.2376200000000001e-03
4.0000000000000000e+00 8.8360299999999999e-03
5.0000000000000000e+00 5.7424700000000004e-03
6.0000000000000000e+00 1.0022280000000000e-02
7.0000000000000000e+00 1.3007039999999999e-02
8.0000000000000000e+00 1.1888660000000001e-02
9.0000000000000000e+00 1.0139600000000000e-02
1.0000000000000000e+01 1.1910530000000001e-02
1.1000000000000000e+01 1.3821350000000000e-02
1.2000000000000000e+01 1.4623450000000000e-02
1.3000000000000000e+01 1.5261479999999999e-02
1.4000000000000000e+01 1.8347539999999999e-02
1.5000000000000000e+01 1.9424950000000000e-02
1.6000000000000000e+01 2.2289580000000000e-02
1.7000000000000000e+01 2.3065200000000001e-02
1.8000000000000000e+01 2.5410019999999998e-02
1.9000000000000000e+01 2.7512020000000002e-02
2.0000000000000000e+01 3.2509839999999998e-02
2.1000000000000000e+01 3.4063400000000001e-02
2.2000000000000000e+01 3.7085849999999997e-02
2.3000000000000000e+01 4.1657479999999997e-02
2.4000000000000000e+01 4.1380340000000002e-02
2.5000000000000000e+01 4.4698570000000000e-02
2.6000000000000000e+01 4.8537820000000002e-02
2.7000000000000000e+01 5.9016300000000001e-02
2.8000000000000000e+01 5.7184829999999999e-02
2.9000000000000000e+01 6.4903420000000003e-02
