1.116906860735374443e-03 -7.944506422995861424e-05 -1.602422082567994414e-05 1.091960807181725019e-05 6.718388270328936533e-05 7.194007311166208208e-06 9.863785403550215660e-06 -1.201025273489523577e-05 -8.065491253552924090e-05 -1.782642706302438749e-05 -5.893886139988390111e-05 2.882433199968166334e-05 8.712368985597377703e-05 2.919998661516580945e-05 3.106833312296034986e-05 7.183832134507745892e-05 1.066749112296310598e-04 3.515642084026584764e-05 7.431357995495457417e-06 -1.955962102361271206e-04 -1.007136936784372650e-04 1.269381942147671221e-05 1.674275601353223699e-04 -2.860044069907019038e-04 -1.515418752511657789e-04 1.530452538494884497e-04 -3.306760878953720413e-04 6.713656674294700834e-05
-7.944506422995784175e-05 1.182062068037326641e-03 7.057250182883457827e-05 4.738303497197334597e-05 -6.600171690537349253e-05 -1.163704298762126723e-05 3.705792027678699355e-05 5.469073705671728133e-05 1.605932702280032758e-04 -1.917293820657638194e-05 8.123207862380753524e-05 6.547500051330010164e-05 -1.216716641375669165e-04 1.009495883978136184e-05 -4.989633272620270073e-05 -3.667307343453089612e-05 -3.200518653160698990e-05 -9.637882971965210641e-05 6.406752246633525927e-05 -6.925677323281866768e-06 -1.170989945290186777e-04 -5.993249547348063533e-06 8.667388553622163675e-05 1.915140214198925487e-04 -1.410844400414058538e-04 -3.053737792602216226e-04 1.558697377689495511e-04 -4.445523103622154014e-05
-1.602422082568969179e-05 7.057250182883429367e-05 1.178497795359579117e-03 -8.580727927005686178e-06 -7.864201591458799010e-05 1.993481803174731683e-05 -4.051275741785882734e-05 -5.400051085208179872e-05 5.268989569317370663e-05 -1.823815440702798981e-05 -1.842152006665847525e-05 5.712232462479277859e-05 2.217697386399690714e-06 -1.193393040138040979e-04 -2.995462181581676797e-05 -9.315841851963514492e-05 -3.378429614169473782e-05 3.496372461980128637e-05 -1.235343263226912672e-04 -4.206449804750998116e-05 1.236638377807518479e-04 -4.893917180699869525e-05 4.441700903389078745e-05 7.341295896121578215e-05 9.249261009159358597e-05 -2.780713196804179485e-04 2.737881022878186927e-04 1.612273162241180239e-04
1.091960807184143806e-05 4.738303497193860407e-05 -8.580727926959577092e-06 1.230408294448612520e-03 -4.869164682899904218e-06 -7.677261358323431368e-05 -8.896432262222759581e-05 6.220513061643745715e-05 -3.691486101323777094e-05 -5.791482667126520914e-05 1.369858784981844123e-04 3.203000510942493077e-05 1.477462246633366823e-05 -6.140100189810443953e-05 -7.256871763979382277e-05 2.740055531002606295e-05 -4.135398511571321473e-05 -6.104692332867032816e-05 2.231026838997901855e-04 2.406180545411857555e-04 -1.824511518256006945e-05 -1.682303719845242994e-04 1.059678741536494061e-04 -2.280556838626645873e-04 5.178077977913471153e-05 4.750065152118743603e-07 -2.201800973876237317e-04 2.029093096077190246e-04
6.718388270326919917e-05 -6.600171690535823238e-05 -7.864201591461100229e-05 -4.869164682919357176e-06 6.530651712782837475e-04 -1.118253791089046812e-06 -6.433839417457064855e-05 -4.647825598587314197e-05 1.448203667037085796e-05 3.877669088581605691e-06 5.962493619457039074e-05 -7.595771865416061318e-05 5.893855635414482568e-05 1.685485572321714564e-04 -1.982092910883947610e-05 3.138037032628381067e-06 -6.819086796247111133e-05 3.114759303404764950e-06 3.874203800080411889e-05 -1.399934548236326810e-04 2.329339917859726307e-05 1.924549871961132917e-04 5.903932187375233033e-05 -2.208913506273049645e-04 -3.433018328737037322e-05 -1.172276156274476550e-04 -5.252215551723725428e-05 2.837814729394475726e-04
7.194007311162704033e-06 -1.163704298762312392e-05 1.993481803175260910e-05 -7.677261358326845249e-05 -1.118253791068786631e-06 1.019271591876734018e-03 -6.317022338525786224e-05 -3.305677116621511062e-05 2.819184948528448856e-05 -1.243903807937645490e-05 -1.505162697711752949e-04 -4.958305198366091066e-06 -4.580459127747570194e-05 9.325840966440169274e-05 4.270366747064508747e-05 1.600906690469472318e-04 -1.935620123706894891e-05 -8.944781680627399774e-05 -4.591093785936059264e-05 -1.752987061112706651e-04 -7.569076891371289703e-07 -1.884083907433273860e-04 1.935190842163900346e-04 -5.861640640289193098e-06 -4.161900235011709915e-05 -1.704103746461768101e-04 -1.924832602863922051e-04 -2.035789578259637202e-04
9.863785403549912422e-06 3.705792027676923974e-05 -4.051275741784364851e-05 -8.896432262225537849e-05 -6.433839417455326066e-05 -6.317022338524998823e-05 8.589822392680731243e-04 -9.680614156879243290e-06 -1.200317552337327331e-04 -4.309038259589547862e-05 -5.965192391006534971e-06 2.791472150811100561e-05 3.442524778554557766e-05 -1.242981283767327280e-04 7.793748139608035663e-06 -7.118351841074309783e-05 1.010094619336695328e-04 -3.692036401141530170e-05 1.170218587891744749e-04 4.436381966732180456e-05 -1.266286092547998709e-04 1.048005931453344027e-04 2.948068160694271994e-04 -4.657944856012079867e-05 1.338130239647292228e-04 1.691717811309831083e-04 -1.070152287191208907e-04 -8.034853221284241097e-05
-1.201025273454982929e-05 5.469073705656148825e-05 -5.400051085169130298e-05 6.220513061698713410e-05 -4.647825598591627966e-05 -3.305677116587283477e-05 -9.680614156441024018e-06 1.170720177050604957e-03 -2.992157202517720904e-05 -2.526635768712352185e-04 1.199689236712754391e-04 -3.646186671450649521e-05 5.101427975600056103e-05 -2.177460333691378009e-05 -2.140713981436236514e-05 6.414370579140567711e-06 -9.651910204781423842e-05 -2.013752022523542711e-04 8.587773429511508705e-05 -2.906513983577284290e-04 -1.018400153714659959e-04 1.018566133704674494e-04 -8.776204653922095415e-05 9.385483496911095516e-05 1.073385325295422540e-04 -2.624344537384851813e-04 -7.957583869678606209e-05 -7.867142052450778675e-05
-8.065491253553363192e-05 1.605932702280173975e-04 5.268989569315810767e-05 -3.691486101323891613e-05 1.448203667036504562e-05 2.819184948527391082e-05 -1.200317552337454318e-04 -2.992157202492920457e-05 1.378514051155034373e-03 6.732849636965585751e-05 -1.785756453546483733e-04 -2.899555978133249638e-05 -1.836762376439266128e-04 -1.488428834356797764e-05 -3.552954287214590286e-05 5.881380454962819389e-05 -6.551933603128129923e-05 -7.837073343127236324e-05 5.347173824440932468e-06 1.947945460284585713e-05 -1.375576880696893441e-04 2.126380442507895215e-04 -1.176378492370543755e-04 1.349045686611198829e-04 4.551996290781477856e-05 2.385513155216684579e-04 -8.345485351216014964e-05 -8.833551557890488722e-05
-1.782642706309587368e-05 -1.917293820649698446e-05 -1.823815440714534453e-05 -5.791482667133577037e-05 3.877669088562211178e-06 -1.243903807946801408e-05 -4.309038259599593673e-05 -2.526635768703183629e-04 6.732849636968312520e-05 1.389325200015894537e-03 -1.170913444471191367e-05 -3.535487218614508467e-04 -6.545961895244146274e-05 7.810231063234195710e-05 -1.875280669621328034e-05 2.791107618612310195e-05 9.452583898502382276e-05 -1.386193085557191514e-04 -8.010744362386858078e-05 3.316002477121664086e-04 1.042195984106057758e-04 -9.887627926810258708e-05 2.821605848969167027e-04 1.929402771665111838e-04 -1.286834117880603979e-04 -1.464114322605794064e-05 5.965970996546438379e-04 -2.261327661554987808e-04
-5.893886139985899834e-05 8.123207862380318488e-05 -1.842152006663889862e-05 1.369858784982586530e-04 5.962493619454756151e-05 -1.505162697711539090e-04 -5.965192390965568222e-06 1.199689236716079097e-04 -1.785756453546798151e-04 -1.170913444487616861e-05 2.333387310275382345e-03 2.057538281096887660e-04 -2.566442547958432694e-04 -2.048049697276132112e-05 -1.596982191658081974e-04 4.424552997116393277e-05 2.296835980028214927e-05 7.857978967215616410e-05 -3.790495052048838500e-04 2.817312042743027310e-04 4.252158922420523775e-04 -7.165960744804519248e-05 1.337996101515587916e-04 1.870080432909254056e-05 -1.640031635433006688e-04 -1.924215747901341289e-04 1.244625085629648951e-04 1.011473809082102206e-06
2.882433199967312525e-05 6.547500051330053532e-05 5.712232462478597522e-05 3.203000510940202700e-05 -7.595771865415417573e-05 -4.958305198373109581e-06 2.791472150809844242e-05 -3.646186671461555917e-05 -2.899555978132255560e-05 -3.535487218613991302e-04 2.057538281096880342e-04 1.994310409798143776e-03 1.727910489361332231e-06 -6.484493059133310689e-04 1.197300636940690016e-04 -9.537436499347832445e-05 1.112968299398412570e-04 4.312344324287092125e-05 -1.927059522766073332e-04 -2.076942460508131544e-04 -2.180166583340244419e-04 4.188720057206247224e-05 2.717577982749263795e-04 -2.888577889081465487e-04 6.112438846885557327e-05 2.924328989317656353e-04 1.251735626544247225e-04 3.816467883150610540e-05
